dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,0,76.52417302131653,-0.5752322976184914,-0.5724452571594854,0.1918696857866937,True,eom,euclidean,3,2,euclidean,0.03609605947799055,8,43,"(1, 1)",english,False,-0.0701184146553259,0.6877022653721683,0.5997571549698739
dataset_name,RF,LCB,1,70.36976408958435,-0.7356983649823902,-0.7391676890591244,0.06533022751695886,False,eom,euclidean,5,3,cosine,0.0410663406196016,10,22,"(1, 2)",english,False,0.018649395568877805,0.44871794871794873,0.6574159927337002
dataset_name,RF,LCB,2,69.59683084487915,-0.7021056633146874,-0.7032636386794074,0.1977473030421589,True,eom,euclidean,5,2,cosine,0.10386157171120121,4,28,"(1, 2)",english,False,0.206111842219216,0.4095890410958904,0.64597245247607
dataset_name,RF,LCB,3,70.03423309326172,-0.6910735227299396,-0.7000463416647973,0.1896613371949985,True,eom,euclidean,5,3,cosine,0.008158615633342305,3,45,"(1, 2)",english,False,0.20281782978689492,0.40673076923076923,0.6480440458284072
dataset_name,RF,LCB,4,60.38465595245361,-0.673517705025342,-0.6779300772237554,0.13360190230636568,True,eom,euclidean,5,3,euclidean,0.15513091214106142,3,31,"(1, 2)",english,False,0.1569484290996085,0.44682080924855494,0.663722185637316
dataset_name,RF,LCB,5,150.3107147216797,-0.9060822586756261,-0.9175766896262626,0.3937594262637227,False,eom,euclidean,2,2,cosine,0.19769330812653627,2,29,"(1, 2)",english,False,0.18535186812906956,0.2682284040995608,0.5429646555098093
dataset_name,RF,LCB,6,65.83892297744751,-0.6878561307864854,-0.6923870893176792,0.17830752820900708,True,eom,euclidean,5,2,cosine,0.12704462803072883,4,40,"(1, 2)",english,False,0.19627614802159885,0.4218085106382979,0.6586880217848717
dataset_name,RF,LCB,7,70.53113508224487,-0.672324419573149,-0.6956802510940229,0.19828951963883854,True,eom,euclidean,4,1,cosine,0.16111768234285037,10,40,"(1, 2)",english,False,0.22325731451990818,0.39778761061946905,0.6590930277224476
dataset_name,RF,LCB,8,76.09232091903687,-0.723440722108093,-0.7321561690535838,0.06847125077461412,False,eom,euclidean,4,1,cosine,0.09366841546962912,7,40,"(1, 2)",english,False,0.023021132028195182,0.45511111111111113,0.6681140839689578
dataset_name,RF,LCB,9,74.21808099746704,-0.7170693205589938,-0.7289696811014874,0.06312077297866439,False,eom,euclidean,4,1,cosine,0.052672720308693396,10,47,"(1, 2)",english,False,0.02691988573288539,0.448,0.6527778941456237
dataset_name,RF,LCB,10,84.193106174469,-0.626846801670881,-0.6219028918638857,0.15557901725903622,True,eom,euclidean,4,2,euclidean,0.16985893679211359,3,3,"(1, 1)",english,False,-0.07801423598291725,0.6268888888888889,0.69698668231088
dataset_name,RF,LCB,11,140.33040285110474,-0.8720649851249036,-0.8740314303318973,0.5607358190408467,True,eom,euclidean,2,2,euclidean,0.17289580703611168,3,23,"(1, 2)",english,False,0.45999679689304407,0.23937282229965157,0.5727301306425605
dataset_name,RF,LCB,12,73.26737880706787,-0.7148503310509533,-0.7199464817182007,0.2343018775476305,True,eom,euclidean,3,3,euclidean,0.1828194576424993,3,43,"(1, 2)",english,False,0.23130909590422138,0.38526785714285716,0.6613182984023351
dataset_name,RF,LCB,13,71.09526300430298,-0.5700830663532245,-0.5698022555267487,0.18316532625427084,True,eom,euclidean,3,1,euclidean,0.16749119022536504,3,34,"(1, 1)",english,False,-0.05593054354124354,0.6801282051282052,0.6199888042087268
dataset_name,RF,LCB,14,101.78926014900208,-0.6476114376165769,-0.6450186619701592,0.1172861001028049,True,eom,euclidean,3,1,euclidean,0.17137088778314852,7,3,"(1, 1)",english,False,-0.06586876483798328,0.5884135472370766,0.7107842397479815
dataset_name,RF,LCB,15,117.20396876335144,-0.6557723797911701,-0.652345821722223,0.10565854998815645,True,eom,euclidean,2,3,euclidean,0.17177845289681168,7,6,"(1, 1)",english,False,-0.06266517181636341,0.5757183908045977,0.6660100354972048
dataset_name,RF,LCB,16,58.219850301742554,-0.5365780423264963,-0.5357736004904815,0.24586735872356758,True,eom,euclidean,3,1,euclidean,0.19621779830525074,8,44,"(1, 1)",english,False,-0.0856309401045223,0.7477064220183486,0.6776503016071583
dataset_name,RF,LCB,17,92.20717000961304,-0.6966390436408522,-0.693684668835277,0.09019676228853643,False,eom,euclidean,2,1,euclidean,0.199284040982074,8,31,"(1, 1)",english,False,-0.08683917759187162,0.5430799220272905,0.5501157671694114
dataset_name,RF,LCB,18,91.44343090057373,-0.6273093721877046,-0.6127979831802971,0.1572929639240482,True,eom,euclidean,2,1,euclidean,0.18244736831236044,10,39,"(1, 1)",english,False,-0.057484571327065304,0.6439635535307517,0.5882141685032383
dataset_name,RF,LCB,19,107.6095712184906,-0.7849351773466642,-0.7733784088150344,0.026946113648739535,False,eom,euclidean,2,1,cosine,0.19142043449695137,2,46,"(1, 1)",english,False,-0.09812370967721415,0.47254601226993864,0.5319876485266956
dataset_name,RF,LCB,20,46.826589822769165,-0.5142968256027876,-0.5131458067117803,0.2618561647603302,True,eom,euclidean,5,1,euclidean,0.18956440800609287,3,34,"(1, 1)",english,False,-0.07763776554708086,0.7779411764705882,0.7154413460326489
dataset_name,RF,LCB,21,66.16619610786438,-0.6755860388355215,-0.6613178092062303,0.1349756555708144,False,eom,euclidean,3,3,euclidean,0.19617960879264568,2,38,"(1, 1)",english,False,-0.09512260601604529,0.5840579710144927,0.6099055470250679
dataset_name,RF,LCB,22,98.35196208953857,-0.6152954884660992,-0.6139884888659225,0.1448962724010042,True,eom,euclidean,2,1,euclidean,0.18927426987092547,9,36,"(1, 1)",english,False,-0.062062590812064874,0.6249500998003992,0.5259843775662456
dataset_name,RF,LCB,23,49.285776138305664,-0.543746562298933,-0.5331304348096964,0.24581423849489176,True,eom,euclidean,5,1,euclidean,0.1960411263251628,2,25,"(1, 1)",english,False,-0.08034648874636909,0.750253807106599,0.6030821600707776
dataset_name,RF,LCB,24,67.1786859035492,-0.6356132260985667,-0.6234382141951725,0.14957105042048713,False,eom,euclidean,3,1,euclidean,0.19242999379090256,3,35,"(1, 1)",english,False,-0.07609093750615861,0.6263157894736842,0.6000132993681548
dataset_name,RF,LCB,25,60.269314765930176,-0.5499440815295292,-0.5519344669757192,0.21650275382604922,True,eom,euclidean,4,1,cosine,0.1947427573937726,3,25,"(1, 1)",english,False,-0.07366092375031381,0.712992125984252,0.5834790914365737
dataset_name,RF,LCB,26,119.66080617904663,-0.6789911446496888,-0.6761601448949591,0.07853974850264901,True,eom,euclidean,2,1,euclidean,0.1981107298935755,2,31,"(1, 1)",english,False,-0.06047173112308046,0.5491729323308271,0.532171164752661
dataset_name,RF,LCB,27,51.63128185272217,-0.5618151421166241,-0.553113424616886,0.21758023654479355,False,eom,euclidean,5,1,cosine,0.19360035683610735,2,34,"(1, 1)",english,False,-0.07676481121917793,0.7138888888888889,0.6192420914722057
dataset_name,RF,LCB,28,52.053292989730835,-0.528712702974193,-0.5289620037477875,0.23713255601365282,False,eom,euclidean,5,1,euclidean,0.1997865379118956,9,43,"(1, 1)",english,False,-0.07346290964963842,0.7466666666666667,0.7060321060757667
dataset_name,RF,LCB,29,52.88730812072754,-0.5846515348305978,-0.5644505197250783,0.19767689159755503,False,eom,euclidean,5,3,cosine,0.19695748440088875,2,31,"(1, 1)",english,False,-0.06015433370683386,0.7033707865168539,0.5995114912940624
dataset_name,RF,LCB,30,58.07000207901001,-0.5778017507005342,-0.5729310433385306,0.1789638685117224,False,eom,euclidean,5,1,euclidean,0.020029496935929685,9,42,"(1, 1)",english,False,-0.05730943065802565,0.6729591836734694,0.6823116149078149
dataset_name,RF,LCB,31,53.27007579803467,-0.5276219861820087,-0.5218037599459406,0.25386107533308216,True,eom,euclidean,4,1,euclidean,0.19797708987927104,4,50,"(1, 1)",english,False,-0.07953859788614921,0.7679012345679013,0.689182904215866
dataset_name,RF,LCB,32,51.863101959228516,-0.5243160580565909,-0.5209496843965008,0.25269243257905355,True,eom,euclidean,4,3,euclidean,0.19637989745833978,4,45,"(1, 1)",english,False,-0.07722114683892062,0.7633540372670807,0.7016627902270126
dataset_name,RF,LCB,33,52.79382562637329,-0.554894343979583,-0.5488951370762821,0.2281720179826288,False,eom,euclidean,5,1,cosine,0.19288864887558177,2,48,"(1, 1)",english,False,-0.0773437641776625,0.7248175182481752,0.6488374725567162
dataset_name,RF,LCB,34,59.31535577774048,-0.5349540113160973,-0.5355484253099464,0.24865757535491084,True,eom,euclidean,3,1,euclidean,0.19803019036768804,7,46,"(1, 1)",english,False,-0.08540494127846027,0.75,0.663510912705537
dataset_name,RF,LCB,35,61.615103244781494,-0.5638104682009091,-0.5586595897422236,0.20753931587381053,True,eom,euclidean,4,3,euclidean,0.19845346727446164,5,20,"(1, 1)",english,False,-0.06856869503444966,0.7063241106719368,0.6173500613256527
dataset_name,RF,LCB,36,60.21537899971008,-0.58813846637673,-0.5842932710663441,0.19958112551952226,False,eom,euclidean,3,1,euclidean,0.19892883910036258,7,44,"(1, 1)",english,False,-0.08674086316436577,0.6772511848341233,0.6916729376991235
dataset_name,RF,LCB,37,66.31662392616272,-0.6013699148953295,-0.5882838880664821,0.1975754025891257,True,eom,euclidean,3,1,cosine,0.19463806501074846,2,45,"(1, 1)",english,False,-0.09611460479668767,0.6916666666666667,0.619507995015332
