dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,0,259.64008021354675,-0.6425144289961298,-0.6408686186571362,0.10477120098802613,False,eom,euclidean,5,10,none,cosine,0.1402937270164405,9,16,"(1, 2)",english,False,-0.050834463706170854,0.58625,0.670745307252662
dataset_name,RF,LCB,1,176.87865710258484,-0.5187987077115966,-0.5142611348083457,0.2390670449330311,True,eom,euclidean,11,3,none,cosine,0.1969994465477259,6,7,"(1, 2)",english,False,-0.05546802166164734,0.76,0.6792120452349838
dataset_name,RF,LCB,2,202.67520833015442,-0.4332845626218783,-0.43122248381112493,0.30789435142640076,True,eom,euclidean,11,6,none,euclidean,0.02660612673366585,4,13,"(1, 1)",english,False,-0.04409694027499165,0.885,0.7124728490408521
dataset_name,RF,LCB,3,428.39258885383606,-0.7350699521923308,-0.7376580957415397,0.06536346001074371,True,eom,euclidean,2,8,none,euclidean,0.032336429207276515,7,7,"(1, 2)",english,False,0.020172175852145455,0.44962962962962966,0.6998504949050751
dataset_name,RF,LCB,4,130.04950499534607,-0.3930814884754562,-0.3945666891142605,0.3266185545610088,True,eom,euclidean,15,3,none,euclidean,0.13543662466148326,8,17,"(1, 1)",english,False,-0.029973366211525562,0.9338235294117647,0.6503211673834208
dataset_name,RF,LCB,5,206.27598786354065,-0.5227769925424559,-0.5179499260666259,0.1838004314776871,False,eom,euclidean,9,15,none,cosine,0.15454200690311165,8,8,"(1, 1)",english,False,-0.009316407395852915,0.7124183006535948,0.6904146133027107
dataset_name,RF,LCB,6,176.46835780143738,-0.47670923366224455,-0.4741100659424924,0.20605313223159663,False,eom,euclidean,11,14,none,cosine,0.07514049969762468,3,20,"(1, 1)",english,False,0.011782457978683157,0.7589743589743589,0.6904599027415639
dataset_name,RF,LCB,7,160.27895212173462,-0.40788536560345034,-0.40470742121043096,0.3081054861241446,True,eom,euclidean,15,5,none,cosine,0.01804413170103703,10,19,"(1, 1)",english,False,-0.02105399733922038,0.9116279069767442,0.7392344772380032
dataset_name,RF,LCB,8,414.2298822402954,-0.6232046748492546,-0.615617773424284,0.1991363990827075,True,eom,euclidean,2,4,none,euclidean,0.05647797596369007,10,12,"(1, 1)",english,False,-0.1125480247680288,0.6597133757961784,0.6432750177812526
dataset_name,RF,LCB,9,176.51356387138367,-0.5422180013437847,-0.5345595572824369,0.17031130274271314,False,eom,euclidean,11,12,none,cosine,0.03330182609380058,8,17,"(1, 2)",english,False,-0.010722554253159851,0.691304347826087,0.7150380240478524
dataset_name,RF,LCB,10,230.20225191116333,-0.4646471705883948,-0.463652671781017,0.2917420616567931,True,eom,euclidean,8,2,none,euclidean,0.014617840246191397,6,18,"(1, 1)",english,False,-0.061976536784798454,0.8417142857142857,0.7058387377597096
dataset_name,RF,LCB,11,255.02407693862915,-0.47578333450683336,-0.47681109349580303,0.2909697695417294,True,eom,euclidean,6,6,none,euclidean,0.015566372834108846,7,20,"(1, 1)",english,False,-0.07194331043062645,0.8285714285714286,0.6971043719061599
dataset_name,RF,LCB,12,323.20975518226624,-0.5377214395446203,-0.534195956848104,0.26267939822212893,True,eom,euclidean,3,5,none,euclidean,0.017583736270455445,5,20,"(1, 1)",english,False,-0.10128432416486255,0.7645077720207254,0.6693635806621835
dataset_name,RF,LCB,13,192.4079339504242,-0.5379627519705931,-0.5367064104814133,0.22286219506149854,True,eom,euclidean,11,2,none,euclidean,0.00652761980607557,7,9,"(1, 2)",english,False,-0.06470561962289231,0.7293233082706767,0.7247063871220806
dataset_name,RF,LCB,14,256.33002495765686,-0.4756034691157459,-0.4757480108680179,0.29040564291205573,True,eom,euclidean,6,5,none,cosine,0.026559690539073172,9,17,"(1, 1)",english,False,-0.0710524757707306,0.8320175438596491,0.6937180750581664
dataset_name,RF,LCB,15,172.63863825798035,-0.495488931731009,-0.4908180986250676,0.1963506150188654,False,eom,euclidean,13,3,none,euclidean,0.027579857622196217,10,12,"(1, 1)",english,False,0.006633229402904469,0.7454545454545455,0.718944679157584
dataset_name,RF,LCB,16,247.0592918395996,-0.47618379457966253,-0.47218135549943613,0.2994932446250621,True,eom,euclidean,5,4,none,euclidean,0.12640125668693036,8,19,"(1, 1)",english,False,-0.0762281360521414,0.8427927927927928,0.6663453972573746
