dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,0,101.81204009056091,-0.6379424604478943,-0.6361890797757738,0.12428521321410498,False,eom,euclidean,3,2,embeddings,cosine,0.1402937270164405,9,40,"(1, 2)",english,False,-0.06513132419608743,0.5987096774193549,0.33965095735895134
dataset_name,RF,LCB,1,90.0466320514679,-0.5672362240054375,-0.5648648603976717,0.1730938684757833,True,eom,euclidean,5,3,distributions,cosine,0.17458789625367882,5,31,"(1, 1)",english,False,-0.04299741920678995,0.6761658031088082,0.299312744546662
dataset_name,RF,LCB,2,153.19108390808105,-0.7735407436042565,-0.771024918599648,0.008332617009774139,False,eom,euclidean,2,2,embeddings,euclidean,0.09110417968895176,7,6,"(1, 2)",english,False,-0.0807627698209209,0.4668097281831187,0.42004494519435853
dataset_name,RF,LCB,3,84.5108380317688,-0.5834327729816615,-0.5585897613603071,0.19837032269387395,True,eom,euclidean,4,2,probabilities,cosine,0.1931426478024794,8,42,"(1, 1)",english,False,-0.06489779357477482,0.7176829268292683,0.38234393580211407
dataset_name,RF,LCB,4,127.89618110656738,-0.7051866432504073,-0.7044379387231521,0.0549000534927698,False,eom,euclidean,3,1,probabilities,euclidean,0.0573390494918037,2,10,"(1, 2)",english,False,-0.06112607621250025,0.5208520179372197,0.4220740407838028
dataset_name,RF,LCB,5,156.46924996376038,-0.7561758486356828,-0.7556971263050904,0.014177585349284568,True,eom,euclidean,2,3,distributions,cosine,0.10340591399020393,7,7,"(1, 1)",english,False,-0.07434288299517539,0.4754636233951498,0.29042184277922223
dataset_name,RF,LCB,6,87.5913028717041,-0.5723069480089744,-0.5636091353837457,0.18005212185413486,True,eom,euclidean,5,2,distributions,cosine,0.15335762376361417,2,34,"(1, 1)",english,False,-0.04827966787316553,0.6838150289017341,0.25876768825423946
dataset_name,RF,LCB,7,80.8313798904419,-0.5414775679487225,-0.5427809500165791,0.2204511605862566,True,eom,euclidean,5,2,distributions,euclidean,0.17554040005300375,2,40,"(1, 1)",english,False,-0.06719273246872531,0.7244604316546762,0.36970247853110527
dataset_name,RF,LCB,8,86.19003701210022,-0.5304560074264904,-0.5301276099333724,0.22412319034235995,True,eom,euclidean,5,1,distributions,euclidean,0.18199142530202783,3,45,"(1, 1)",english,False,-0.06477852411425565,0.7390977443609023,0.3917020344928382
dataset_name,RF,LCB,9,94.87396097183228,-0.602012072514118,-0.5985673694108641,0.14592303339418194,True,eom,euclidean,5,2,distributions,euclidean,0.19571966529684345,2,19,"(1, 1)",english,False,-0.04712171826977012,0.632258064516129,0.18345506056551977
dataset_name,RF,LCB,10,109.97146010398865,-0.5944100006445397,-0.5933344055824353,0.15227554629939427,True,eom,euclidean,5,1,distributions,euclidean,0.17832240429190654,10,14,"(1, 1)",english,False,-0.05129994869337572,0.645021645021645,0.2683045008138182
dataset_name,RF,LCB,11,95.25040006637573,-0.6160007319264449,-0.6126389598538325,0.13936276078485363,True,eom,euclidean,5,1,embeddings,cosine,0.17496986514721935,4,10,"(1, 1)",english,False,-0.05718102998809703,0.62109375,0.4368151897489071
dataset_name,RF,LCB,12,97.15945386886597,-0.558888063243851,-0.5588289086826421,0.18128927787000293,True,eom,euclidean,5,2,distributions,euclidean,0.040950233280566246,3,50,"(1, 1)",english,False,-0.04306573930210792,0.6837209302325581,0.22796029092007197
dataset_name,RF,LCB,13,103.80133008956909,-0.6124534231742349,-0.5949579658524067,0.1552544409868653,True,eom,euclidean,4,1,distributions,euclidean,0.016725396257357607,3,45,"(1, 1)",english,False,-0.05369455724676341,0.6486842105263158,0.24806564132672967
dataset_name,RF,LCB,14,92.38976573944092,-0.5726422072439393,-0.5655309391909499,0.2016480251727246,False,eom,euclidean,4,3,distributions,euclidean,0.18475565773994077,3,40,"(1, 1)",english,False,-0.07076250969315069,0.6924418604651162,0.4037655223494352
dataset_name,RF,LCB,15,116.51901006698608,-0.6042237134163688,-0.5897369272650755,0.18929634784576704,True,eom,euclidean,3,1,distributions,euclidean,0.1791985555601101,3,47,"(1, 1)",english,False,-0.08053952227828762,0.6735159817351598,0.38761697239008597
dataset_name,RF,LCB,16,108.63456082344055,-0.5822165272434995,-0.5678851311809513,0.17581768274639864,False,eom,euclidean,5,3,distributions,euclidean,0.06509129355268216,2,50,"(1, 2)",english,False,-0.050308578326251976,0.6823170731707318,0.17879010802609277
dataset_name,RF,LCB,17,98.50808715820312,-0.6239784687230128,-0.621484738857991,0.1373734273632068,True,eom,euclidean,5,3,probabilities,euclidean,0.1897645431980491,3,7,"(1, 1)",english,False,-0.062393008527902444,0.6134057971014493,0.3319007551635947
dataset_name,RF,LCB,18,81.16820406913757,-0.5750507113980852,-0.55556911158578,0.19957412896359378,False,eom,euclidean,5,3,embeddings,euclidean,0.11291111490356229,7,46,"(1, 1)",english,False,-0.0663912232915812,0.7184931506849315,0.5366497698857484
dataset_name,RF,LCB,19,83.26577472686768,-0.5855709275042588,-0.5819258491290634,0.15306238613098044,True,eom,euclidean,5,2,embeddings,cosine,0.06006635035976195,3,41,"(1, 1)",english,False,-0.041647569881917416,0.6526595744680851,0.40795559232646916
