dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),ctfidf_reduce_frequent_words,hdbscan_cluster_selection_method,hdbscan_metric,hdbscan_min_cluster_size,min_topic_size,outliers_strategy,umap_metric,umap_min_dist,umap_n_components,umap_n_neighbors,vectorizer_ngram_range,vectorizer_stop_words,vectorizer_tokenizer,Coherence(not optimized),Topic diversity(not optimized),Silhouette Metric(not optimized)
dataset_name,RF,LCB,0,485.29943203926086,-0.882591669356616,-0.8846141984574797,0.13770713865516937,False,eom,euclidean,2,3,none,cosine,0.007014686350822025,9,3,"(1, 2)",english,False,-0.05257405551954832,0.3590308370044053,0.7655373775043565
dataset_name,RF,LCB,1,445.62446212768555,-0.7450984477016116,-0.7455788946074247,0.06605542685895009,True,eom,euclidean,3,2,none,euclidean,0.006180708252112344,2,2,"(1, 2)",english,False,0.013682505700486451,0.4438356164383562,0.7968215956927215
dataset_name,RF,LCB,2,455.1969470977783,-0.7516236274952015,-0.7543126009250397,0.07545972257691463,True,eom,euclidean,3,3,none,cosine,0.002217351933769747,4,2,"(1, 2)",english,False,0.013929808753852703,0.4363760217983651,0.7912863816934442
dataset_name,RF,LCB,3,449.72109174728394,-0.6381777550105957,-0.6323365433407252,0.20218260429461976,True,eom,euclidean,3,2,none,euclidean,0.006256172226401898,10,2,"(1, 1)",english,False,-0.13201772760003289,0.6542203147353362,0.809496234100333
dataset_name,RF,LCB,4,450.9685549736023,-0.7542857515872348,-0.7570317945340319,0.08147535837014812,True,eom,euclidean,3,2,none,cosine,0.006781316859842666,6,2,"(1, 2)",english,False,0.016976905319412164,0.43333333333333335,0.7887155662237652
dataset_name,RF,LCB,5,410.32888007164,-0.8257487689607789,-0.826990248269006,0.075000970052203,False,eom,euclidean,3,2,none,cosine,0.004337937028438453,6,3,"(1, 2)",english,False,-0.058820656226966125,0.4053745928338762,0.776390026278233
dataset_name,RF,LCB,6,526.3571870326996,-0.7915267240668162,-0.7944757403336272,0.15144499934620975,True,eom,euclidean,2,2,none,euclidean,0.008401178875863854,9,2,"(1, 2)",english,False,0.05114525327275844,0.38827655310621245,0.8668810846039545
dataset_name,RF,LCB,7,476.9626512527466,-0.76121047300336,-0.7711446477222245,0.024540304590065853,False,eom,euclidean,2,2,none,euclidean,0.006509574351274646,9,3,"(1, 1)",english,False,-0.05527664248136174,0.45111111111111113,0.7647766623450095
dataset_name,RF,LCB,8,435.8226389884949,-0.8621399938474806,-0.8616556702030631,0.09191436292073744,False,eom,euclidean,3,2,none,euclidean,0.00623084006408199,10,2,"(1, 2)",english,False,-0.07370417029236329,0.3864214992927864,0.813858809788843
dataset_name,RF,LCB,9,447.91033411026,-0.6376162042537585,-0.634494646845228,0.2024103629035744,True,eom,euclidean,3,2,none,euclidean,0.00625825125016556,10,2,"(1, 1)",english,False,-0.13275690897163878,0.6490538573508006,0.8135857602965129
